Județ,URL
Alba,www.stpalba.ro
Arad,www.ctparad.ro
Argeș,www.publitrans2000.ro
Bacău,www.transportpublicbc.ro
Bihor,www.bihortransport.ro
Bistrița N.,www.transmixtbn.ro
Botoșani,www.eltransbt.ro
Brăila,www.braicar.ro
Braov,www.ratbv.ro
București,www.ratb.ro
Buzău,www.transbusbuzau.ro
Călărași,www.calarasi.ro
Caraș S.,www.primaria-resita.ro
Cluj,www.ctpcj.ro
Constanța,www.ratc.ro
Covasna,www.primariacovasna.ro
Dâmbovița,www.aitt.ro
Dolj,www.rat-craiova.ro
Galați,www.transurbgalati.ro
Giurgiu,www.transporturbangiurgiu.ro
Gorj,www.cnipt-targujiu.ro
Harghita,www.judetulharghita.ro
Hunedoara,www.primariahd.ro
Ialomița,www.cicnet.ro
Iași,www.ratp-iasi.ro
Ilfov,www.amtb.eu
Maramureș,www.urbisbaiamare.ro
Mehedinți,www.cjmehedinti.ro
Mureș,www.transportlocal.ro
Neamț,www.troleibuzul.ro
Olt,www.loctrans-slatina.ro
Prahova,www.ratph.ro
Sălaj,www.cjsj.ro
Satu M.,www.transurbansatumare.ro
Sibiu,www.tursib.ro
Suceava,www.tpl-sv.ro
Teleorman,www.cjteleorman.ro
Timiș,www.ratt.ro
Tulcea,www.stp-tulcea.ro
Vâlcea,www.eta-bus.ro
Vaslui,www.transurb.ro
Vrancea,www.tpfocsani.ro